Date,CaseCount,CumCases
2020-03-03,2,2
2020-03-05,7,9
2020-03-07,5,14
2020-03-08,1,15
2020-03-10,6,21
2020-03-11,9,30
2020-03-12,6,36
2020-03-13,15,51
2020-03-14,10,61
2020-03-15,11,72
2020-03-16,41,113
2020-03-17,26,139
2020-03-18,21,160
2020-03-19,19,179
2020-03-20,36,215
2020-03-21,17,232
2020-03-22,24,256
2020-03-23,33,289
2020-03-24,41,330
2020-03-25,42,372
2020-03-26,41,413
2020-03-27,32,445
2020-03-28,17,462
2020-03-29,13,475
2020-03-30,42,517
2020-03-31,55,572
2020-04-01,39,611
2020-04-02,33,644
2020-04-03,27,671
2020-04-04,15,686
2020-04-05,35,721
2020-04-06,52,773
2020-04-07,58,831
2020-04-08,66,897
2020-04-09,77,974
2020-04-10,26,1000
2020-04-11,24,1024
2020-04-12,18,1042
2020-04-13,32,1074
2020-04-14,46,1120
2020-04-15,52,1172
2020-04-16,32,1204
2020-04-17,44,1248
2020-04-18,14,1262
2020-04-19,32,1294
2020-04-20,39,1333
2020-04-21,30,1363
2020-04-22,32,1395
2020-04-23,46,1441
2020-04-24,36,1477
2020-04-25,52,1529
2020-04-26,31,1560
2020-04-27,36,1596
2020-04-28,72,1668
2020-04-29,49,1717
2020-04-30,38,1755
2020-05-01,34,1789
2020-05-02,45,1834
2020-05-03,13,1847
2020-05-04,45,1892
2020-05-05,43,1935
2020-05-06,43,1978
2020-05-07,29,2007
2020-05-08,29,2036
2020-05-09,8,2044
2020-05-10,5,2049
2020-05-11,29,2078
2020-05-12,52,2130
2020-05-13,32,2162
2020-05-14,34,2196
2020-05-15,35,2231
2020-05-16,8,2239
2020-05-17,10,2249
2020-05-18,44,2293
2020-05-19,31,2324
2020-05-20,42,2366
2020-05-21,24,2390
2020-05-22,33,2423
2020-05-23,17,2440
2020-05-24,10,2450
2020-05-25,9,2459
2020-05-26,47,2506
2020-05-27,34,2540
2020-05-28,24,2564
2020-05-29,30,2594
2020-05-30,22,2616
2020-05-31,25,2641
2020-06-01,38,2679
2020-06-02,46,2725
2020-06-03,27,2752
2020-06-04,38,2790
2020-06-05,29,2819
2020-06-06,16,2835
2020-06-07,17,2852
2020-06-08,36,2888
2020-06-09,33,2921
2020-06-10,16,2937
2020-06-11,23,2960
2020-06-12,26,2986
2020-06-13,20,3006
2020-06-14,15,3021
2020-06-15,35,3056
2020-06-16,48,3104
2020-06-17,51,3155
2020-06-18,43,3198
2020-06-19,44,3242
2020-06-20,41,3283
2020-06-21,32,3315
2020-06-22,104,3419
2020-06-23,78,3497
2020-06-24,59,3556
2020-06-25,64,3620
2020-06-26,70,3690
2020-06-27,50,3740
2020-06-28,35,3775
2020-06-29,72,3847
2020-06-30,98,3945
2020-07-01,77,4022
2020-07-02,101,4123
2020-07-03,82,4205
2020-07-04,26,4231
2020-07-05,49,4280
2020-07-06,86,4366
2020-07-07,97,4463
2020-07-08,115,4578
2020-07-09,103,4681
2020-07-10,122,4803
2020-07-11,62,4865
2020-07-12,63,4928
2020-07-13,138,5066
2020-07-14,160,5226
2020-07-15,149,5375
2020-07-16,142,5517
2020-07-17,141,5658
2020-07-18,76,5734
2020-07-19,68,5802
2020-07-20,136,5938
2020-07-21,124,6062
2020-07-22,105,6167
2020-07-23,106,6273
2020-07-24,107,6380
2020-07-25,69,6449
2020-07-26,61,6510
2020-07-27,83,6593
2020-07-28,87,6680
2020-07-29,108,6788
2020-07-30,106,6894
2020-07-31,81,6975
2020-08-01,14,6989