Date,MedianSoldPrice
2/29/08,470000
3/31/08,441000
4/30/08,460000
5/31/08,429000
6/30/08,437500
7/31/08,423000
8/31/08,408000
9/30/08,400000
10/31/08,390000
11/30/08,366000
12/31/08,365000
1/31/09,352000
2/28/09,355000
3/31/09,355000
4/30/09,358000
5/31/09,365000
6/30/09,375000
7/31/09,370000
8/31/09,370000
9/30/09,368750
10/31/09,360000
11/30/09,358000
12/31/09,370000
1/31/10,349000
2/28/10,355000
3/31/10,375000
4/30/10,360000
5/31/10,370000
6/30/10,375000
7/31/10,373000
8/31/10,378000
9/30/10,372750
10/31/10,365000
11/30/10,365000
12/31/10,370000
1/31/11,335000
2/28/11,345000
3/31/11,370000
4/30/11,355000
5/31/11,360000
6/30/11,368000
7/31/11,360000
8/31/11,355000
9/30/11,350000
10/31/11,350000
11/30/11,339500
12/31/11,349000
1/31/12,335000
2/29/12,335000
3/31/12,350000
4/30/12,352000
5/31/12,360250
6/30/12,366000
7/31/12,358500
8/31/12,364000
9/30/12,362000
10/31/12,363500
11/30/12,372250
12/31/12,385000
1/31/13,365000
2/28/13,375000
3/31/13,395000
4/30/13,416000
5/31/13,430000
6/30/13,430000
7/31/13,435000
8/31/13,425000
9/30/13,435000
10/31/13,425000
11/30/13,429000
12/31/13,432750
1/31/14,423500
2/28/14,422000
3/31/14,440000
4/30/14,450000
5/31/14,450000
6/30/14,460000
7/31/14,458000
8/31/14,460000
9/30/14,459750
10/31/14,450500
11/30/14,440000
12/31/14,450000
1/31/15,450000
2/28/15,450000
3/31/15,465000
4/30/15,467000
5/31/15,475000
6/30/15,489000
7/31/15,482750
8/31/15,475000
9/30/15,470000
10/31/15,470000
11/30/15,485750
12/31/15,485000
,
,
,
,
,
,
,
,
,
,
,
,